ClientNumber,ClientName,ClientIndustry,StateCode,CardNumber,CardCVN,CardExpiry,ECI,CardPAN,TransactionSource,SummaryCode,BankAccountType,ReferenceNumber,PrincipleAmount,SurchargeRate,SurchargeAmount,LateFee,Amount,Currency,ReminderSent,CreditScore,CreditScoreStatus,CreditStatusProgress,Date,Time
67-7303478,Glyn,Engineering,KY,2781-7304-0230-0691,306,2024-09,SSL,EFT,BPAY,Approved,BPay,ZNRC3977313,4379.1,0.005,21.8955,0,4401.0005,AUD,Yes,509,Poor,Increased,21/01/2021,12:58 PM
36-8486522,Elaina,Training,FL,0352-8826-7298-6476,542,2024-01,SSL,AX,AUSTRALIA_POST,Approved,AustraliaPost,CYOP0569390,6424.3,0.02,128.486,0,6552.806,AUD,Yes,618,Fair,Increased,8/12/2021,1:29 AM
94-3399507,Adham,Marketing,VA,4191-1527-3405-0427,702,2024-10,SSL,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,XEBE1983009,5619.8,0.02,112.396,0,5732.216,AUD,Yes,309,Poor,NoChange,13/07/2021,7:26 AM
58-5177124,Inger,Sales,CA,3539-2741-0490-3479,167,2024-05,REC,MC,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,BYRH8189342,8669.1,0.01,86.691,0,8755.801,AUD,No,586,Fair,Decreased,24/05/2022,2:47 PM
33-4882951,Rosanne,Marketing,TX,2839-1882-4902-9366,865,2024-06,SSL,AX,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,VRKQ1852619,358.6,0.02,7.172,0,365.792,AUD,No,724,Good,NoChange,16/06/2020,11:00 PM
71-0310921,Krysta,Engineering,WI,6316-8381-0966-2167,480,2024-09,MTO,EFT,AUSTRALIA_POST,Approved,AustraliaPost,RXWW2296454,8048.5,0.005,40.2425,0,8088.7475,AUD,No,373,Poor,NoChange,13/11/2020,11:00 PM
60-8266840,Herman,Human Resources,UT,6300-8221-8380-4947,43,2024-04,MTO,VI,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,TEUO4625077,6425.9,0.01,64.259,0,6490.169,AUD,No,694,Good,NoChange,11/08/2020,8:13 PM
91-3481818,Suzy,Sales,TX,0977-1620-1180-1186,538,2024-09,SSL,EFT,BPAY,Pending,BPay,QCVG6801921,7187.9,0.005,35.9395,0,7223.8445,AUD,No,594,Fair,Decreased,14/12/2020,11:53 PM
05-5437602,Ali,Marketing,CT,9053-5607-6644-9516,947,2024-04,REC,EFT,AUSTRALIA_POST,Declined,AustraliaPost,UCKI6163710,8925.4,0.005,44.627,0,8970.032,AUD,No,416,Poor,NoChange,16/08/2021,1:24 AM
06-7932368,Ed,Engineering,NY,8805-5828-9426-8945,586,2024-09,SSL,EFT,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,GTIC5849234,2622.5,0.005,13.1125,0,2635.6175,AUD,No,511,Poor,NoChange,1/09/2020,5:04 PM
46-2643181,Spencer,Accounting,OH,8659-6945-9517-7880,614,2024-09,REC,MC,BRANCH_PAYMENT,Pending,BranchPayment,BBLL6687084,5636.4,0.01,56.364,0,5692.774,AUD,Yes,717,Good,NoChange,6/06/2020,2:58 AM
54-9121245,Shayla,Engineering,MA,9835-1928-2582-0399,525,2024-04,REC,MC,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,OVJI6261956,3782.7,0.01,37.827,0,3820.537,AUD,Yes,533,Poor,NoChange,7/04/2021,2:20 AM
66-5813870,Lorenza,Human Resources,GA,0516-8445-8363-2783,413,2024-05,REC,MC,BRANCH_PAYMENT,Pending,BranchPayment,QHKD9645715,967.1,0.01,9.671,0,976.781,AUD,No,313,Poor,Decreased,27/03/2022,6:57 PM
23-8294865,Nissie,Product Management,FL,9143-0765-7423-0352,406,2024-04,MTO,AX,AUSTRALIA_POST,Pending,AustraliaPost,MLUX4333065,8781,0.02,175.62,0,8956.64,AUD,Yes,541,Poor,Decreased,7/04/2022,3:27 PM
07-2344241,Constantia,Legal,DC,1856-6018-0026-9484,891,2024-03,SSL,MC,BPAY,Declined,BPay,RRSH9554900,463,0.01,4.63,0,467.64,AUD,Yes,590,Fair,NoChange,19/01/2022,4:38 PM
25-5200801,Briano,Business Development,TX,7368-3804-0772-5935,962,2024-10,REC,VI,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,CODI0570437,5969.3,0.01,59.693,0,6029.003,AUD,No,320,Poor,Decreased,5/05/2022,2:31 PM
58-8366565,Deborah,Business Development,FL,8689-7260-4939-0284,326,2024-09,MTO,EFT,AUSTRALIA_POST,Approved,AustraliaPost,HMUD2501968,1704,0.005,8.52,0,1712.525,AUD,Yes,650,Fair,NoChange,19/05/2021,5:15 AM
99-2788285,Janean,Services,OH,9762-1210-3882-0099,174,2024-05,REC,AX,BRANCH_PAYMENT,Pending,BranchPayment,AJEW3357205,7259.8,0.02,145.196,0,7405.016,AUD,No,442,Poor,NoChange,3/07/2020,11:28 AM
92-6759401,Dniren,Support,MN,5677-6219-2983-1445,232,2024-09,MTO,EFT,BRANCH_PAYMENT,Declined,BranchPayment,KVLO5673373,4172.4,0.005,20.862,0,4193.267,AUD,Yes,336,Poor,NoChange,8/02/2021,11:35 AM
75-8584179,Welbie,Sales,FL,7403-7037-6221-8588,351,2024-02,REC,EFT,AUSTRALIA_POST,Pending,AustraliaPost,VJRP3943042,1078.3,0.005,5.3915,0,1083.6965,AUD,No,513,Poor,NoChange,24/04/2022,8:41 AM
84-8090553,Conrad,Research and Development,OH,1624-5109-5921-1340,19,2024-08,MTO,VI,BPAY,Declined,BPay,DOJA7906364,2357,0.01,23.57,0,2380.58,AUD,Yes,319,Poor,NoChange,5/11/2020,4:47 AM
18-1532492,Yulma,Services,IN,7041-4653-7977-6342,585,2024-11,SSL,MC,BPAY,Pending,BPay,HKYJ3938730,8099.6,0.01,80.996,0,8180.606,AUD,No,375,Poor,Decreased,15/09/2020,5:13 AM
00-1770060,Halette,Human Resources,NC,3752-2666-6282-2558,373,2024-10,REC,EFT,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,BKYC6875374,6914.4,0.005,34.572,0,6948.977,AUD,No,477,Poor,Decreased,9/07/2021,12:07 PM
39-0632471,Starlene,Services,NV,2787-8383-6667-8632,310,2024-08,REC,AX,AUSTRALIA_POST,Pending,AustraliaPost,SDMP4026069,4274.8,0.02,85.496,0,4360.316,AUD,No,672,Good,Decreased,28/10/2021,2:31 AM
78-2064608,Letti,Legal,CA,2527-9171-1430-8267,581,2024-06,REC,MC,BRANCH_PAYMENT,Approved,BranchPayment,VCEA4887844,1531.1,0.01,15.311,0,1546.421,AUD,Yes,333,Poor,Decreased,23/12/2021,4:16 PM
07-9827930,Giacopo,Support,CT,4279-2057-5435-1577,136,2024-09,MTO,VI,BPAY,Approved,BPay,LHFW4414332,1538.1,0.01,15.381,0,1553.491,AUD,Yes,701,Good,Decreased,6/03/2021,10:06 AM
41-7519808,Hadley,Legal,IA,7795-0328-1111-8395,905,2024-07,SSL,MC,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,WZFZ9635144,1171.8,0.01,11.718,0,1183.528,AUD,No,418,Poor,Decreased,10/04/2022,5:26 AM
89-0970748,Dennie,Legal,CA,6030-8639-9814-3574,762,2024-06,REC,MC,BPAY,Declined,BPay,ACJS8698778,6740.6,0.01,67.406,0,6808.016,AUD,No,713,Good,Decreased,13/04/2022,11:37 PM
07-4591951,Nicholle,Business Development,IL,1722-6398-3174-0365,685,2024-11,REC,MC,BRANCH_PAYMENT,Declined,BranchPayment,TOZX5425849,585.7,0.01,5.857,0,591.567,AUD,Yes,566,Poor,Increased,11/05/2021,11:20 PM
16-4463872,Joanie,Accounting,OH,6916-7494-5606-8310,983,2024-08,REC,AX,BRANCH_PAYMENT,Pending,BranchPayment,EWZT9834079,5971.1,0.02,119.422,0,6090.542,AUD,Yes,407,Poor,Increased,11/01/2021,11:30 AM
08-0499636,Mildred,Research and Development,IL,6309-7291-5891-6357,839,2024-05,MTO,VI,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,RJPO4136099,5316.5,0.01,53.165,0,5369.675,AUD,No,588,Fair,Decreased,18/06/2020,2:30 AM
57-2851541,Drugi,Services,CO,7471-2394-9782-5812,603,2024-07,MTO,EFT,BRANCH_PAYMENT,Declined,BranchPayment,ISJV6348447,7890.1,0.005,39.4505,0,7929.5555,AUD,Yes,589,Fair,Decreased,7/09/2020,4:44 PM
31-6923107,Zaneta,Training,GA,0065-8275-1215-9985,244,2024-05,REC,EFT,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,DMRI4740761,1848.3,0.005,9.2415,0,1857.5465,AUD,No,712,Good,Decreased,10/06/2021,3:46 PM
56-1195365,Nancey,Legal,OH,6652-8093-6743-0801,562,2024-06,SSL,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,HRUF7362624,5894.9,0.02,117.898,0,6012.818,AUD,No,721,Good,Increased,27/11/2021,11:09 PM
71-6064324,Audra,Support,PA,4748-0208-1280-0826,279,2024-08,MTO,EFT,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,POWR2081693,2841.6,0.005,14.208,0,2855.813,AUD,Yes,659,Fair,NoChange,24/12/2020,7:58 PM
43-5608056,Ingeberg,Training,CA,0354-8232-1384-3065,92,2024-08,SSL,EFT,BPAY,Pending,BPay,DGRD9303957,5934.8,0.005,29.674,0,5964.479,AUD,Yes,537,Poor,Decreased,28/10/2021,9:55 PM
44-4019802,Pennie,Services,CA,8635-6711-6173-6901,611,2024-08,REC,EFT,AUSTRALIA_POST,Declined,AustraliaPost,ZKQU9231430,2888.3,0.005,14.4415,0,2902.7465,AUD,No,674,Good,Increased,6/07/2020,9:42 AM
54-9654072,Cristal,Human Resources,KY,1704-4109-6615-5608,305,2024-02,MTO,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,FIYM3404821,6321.7,0.02,126.434,0,6448.154,AUD,No,570,Poor,NoChange,14/12/2021,2:10 AM
34-4826992,Zechariah,Sales,MD,0461-1258-8101-8602,788,2024-06,REC,MC,BPAY,Declined,BPay,DBEG6365771,5909,0.01,59.09,0,5968.1,AUD,No,592,Fair,Decreased,3/12/2021,7:45 PM
70-2512726,Sammy,Business Development,ND,7254-4415-9141-2967,828,2024-02,SSL,AX,BRANCH_PAYMENT,Approved,BranchPayment,NRKR0977653,2157,0.02,43.14,0,2200.16,AUD,Yes,427,Poor,Decreased,6/06/2021,5:03 PM
84-1043762,Mauricio,Human Resources,NC,4996-1469-3929-8579,791,2024-03,SSL,MC,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,KECR7944668,5983.7,0.01,59.837,0,6043.547,AUD,No,506,Poor,NoChange,12/11/2020,2:27 AM
65-4299075,Penrod,Legal,KY,6927-4787-1740-0598,570,2024-04,REC,EFT,BRANCH_PAYMENT,Approved,BranchPayment,JQBP8418040,5022.7,0.005,25.1135,0,5047.8185,AUD,Yes,646,Fair,Increased,3/08/2020,11:44 PM
59-2818433,Janella,Product Management,CA,8201-4642-6411-3513,849,2024-07,REC,MC,BRANCH_PAYMENT,Declined,BranchPayment,IKNC4139831,79,0.01,0.79,0,79.8,AUD,Yes,445,Poor,Increased,27/08/2020,10:44 PM
84-3850582,Cathryn,Training,OH,3067-7363-3605-5126,347,2024-02,MTO,EFT,AUSTRALIA_POST,Approved,AustraliaPost,EDDZ3488482,947.3,0.005,4.7365,0,952.0415,AUD,No,586,Fair,NoChange,6/10/2021,10:40 PM
05-0518581,Celestine,Services,TX,7880-3836-6556-5858,14,2024-05,REC,AX,DEBIT_CREDIT_CARD_API,Declined,DirectDebitCredit,YICY8574953,8755.9,0.02,175.118,0,8931.038,AUD,Yes,349,Poor,Increased,25/12/2021,4:44 AM
60-2157018,Frank,Accounting,TX,9208-0874-2268-2059,858,2024-03,REC,AX,BPAY,Declined,BPay,LQAJ6383836,708.5,0.02,14.17,0,722.69,AUD,No,705,Good,Increased,6/10/2020,7:35 PM
60-5841524,Noemi,Engineering,VA,8211-8255-7851-9734,158,2024-05,REC,MC,BPAY,Pending,BPay,KBTB1691164,8208.1,0.01,82.081,0,8290.191,AUD,No,690,Good,Decreased,29/11/2020,4:19 AM
27-9185794,Lin,Engineering,CA,2477-6288-8611-6037,371,2024-04,SSL,VI,BRANCH_PAYMENT,Approved,BranchPayment,JYJL2279567,3225.5,0.01,32.255,0,3257.765,AUD,No,710,Good,NoChange,20/06/2021,2:07 AM
35-4617971,Urson,Engineering,CA,3961-1854-2744-3705,261,2024-04,SSL,MC,BRANCH_PAYMENT,Declined,BranchPayment,GCHF7683881,7892.7,0.01,78.927,0,7971.637,AUD,Yes,704,Good,Increased,11/09/2021,11:21 AM
77-4790078,Mikkel,Marketing,NJ,2325-3530-5187-8804,910,2024-02,REC,MC,BPAY,Pending,BPay,LDLO2478904,5518.6,0.01,55.186,0,5573.796,AUD,Yes,677,Good,Decreased,30/06/2020,5:08 AM
89-6115191,Bradly,Human Resources,PA,4629-9815-7507-6248,585,2024-11,MTO,MC,BRANCH_PAYMENT,Declined,BranchPayment,LSAJ3871983,2806.1,0.01,28.061,0,2834.171,AUD,No,608,Fair,NoChange,3/12/2020,3:50 AM
86-8920078,Wendye,Sales,TX,2324-2699-2424-3931,555,2024-02,REC,AX,BPAY,Pending,BPay,NILC4377425,2481,0.02,49.62,0,2530.64,AUD,Yes,464,Poor,Increased,30/05/2021,4:18 AM
00-7302772,Dex,Product Management,TN,0210-6530-1879-3100,762,2024-11,SSL,EFT,BPAY,Declined,BPay,MPGI7156839,5153.7,0.005,25.7685,0,5179.4735,AUD,No,316,Poor,Increased,10/06/2021,11:04 PM
91-9355601,Nicolas,Product Management,CT,5386-3518-4146-2216,555,2024-02,MTO,VI,BPAY,Approved,BPay,JYPS3015733,960.7,0.01,9.607,0,970.317,AUD,No,327,Poor,Increased,17/02/2022,9:31 AM
22-8139375,Ode,Sales,VA,4596-7411-5628-8755,216,2024-06,REC,AX,BRANCH_PAYMENT,Approved,BranchPayment,SNMI8338412,7180.3,0.02,143.606,215.409,7539.335,AUD,No,485,Poor,Decreased,20/09/2020,4:31 PM
63-2677524,Jerrome,Sales,CA,5416-4865-5273-5192,270,2024-04,MTO,VI,BRANCH_PAYMENT,Pending,BranchPayment,GWVK1259728,1294.6,0.01,12.946,0,1307.556,AUD,No,434,Poor,Increased,19/09/2021,9:58 PM
96-7616084,Bernardo,Human Resources,UT,5178-8739-6779-4528,977,2024-11,SSL,AX,BPAY,Approved,BPay,RHPU6164834,6862.4,0.02,137.248,0,6999.668,AUD,No,634,Fair,Decreased,19/11/2020,12:26 AM
57-4969454,Dominique,Engineering,VA,2020-6215-0713-1407,774,2024-08,MTO,MC,AUSTRALIA_POST,Declined,AustraliaPost,IAUL0129627,6507.9,0.01,65.079,0,6572.989,AUD,No,597,Fair,Decreased,5/03/2022,7:52 PM
23-1408700,Yehudi,Sales,CA,8830-8710-0265-4630,600,2024-04,REC,AX,BPAY,Approved,BPay,BIJC6914362,2264.7,0.02,45.294,0,2310.014,AUD,Yes,326,Poor,Increased,3/11/2021,11:34 AM
72-2274571,Jamima,Legal,AR,9823-4339-3828-3615,304,2024-10,MTO,AX,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,NVEJ7014293,6481.1,0.02,129.622,0,6610.742,AUD,No,459,Poor,Decreased,11/07/2021,3:01 AM
99-6997277,Lisbeth,Engineering,IL,1275-0584-7285-9701,432,2024-04,REC,VI,BRANCH_PAYMENT,Approved,BranchPayment,DCZS8248297,4876.4,0.01,48.764,0,4925.174,AUD,Yes,539,Poor,Decreased,7/07/2020,4:43 AM
52-8052705,Alain,Training,FL,2973-4089-6369-7050,469,2024-07,MTO,MC,BPAY,Approved,BPay,ZEGK5538349,4592.5,0.01,45.925,0,4638.435,AUD,Yes,557,Poor,Increased,7/05/2022,10:14 PM
37-1227301,Nessy,Human Resources,CO,1576-4805-0855-8806,837,2024-09,SSL,EFT,BRANCH_PAYMENT,Declined,BranchPayment,BWDU5502187,3551.3,0.005,17.7565,0,3569.0615,AUD,Yes,653,Fair,NoChange,14/06/2020,8:01 AM
54-8886561,Lolita,Services,TX,0639-5531-0905-7006,254,2024-04,SSL,MC,BPAY,Declined,BPay,WVUM3503877,5000.6,0.01,50.006,0,5050.616,AUD,No,328,Poor,NoChange,7/08/2020,5:57 AM
43-9374968,Sophi,Support,MN,7139-1788-0375-2307,332,2024-01,SSL,AX,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,UKIQ7847657,8455.4,0.02,169.108,0,8624.528,AUD,No,380,Poor,Increased,30/04/2022,4:39 PM
99-3261860,Blithe,Support,TX,1168-4637-9773-8987,660,2024-03,SSL,MC,AUSTRALIA_POST,Declined,AustraliaPost,JEEH5106856,5910.9,0.01,59.109,0,5970.019,AUD,Yes,348,Poor,Decreased,8/03/2022,6:28 PM
58-3294756,Bertie,Services,CA,5538-4933-2036-5490,307,2024-01,MTO,MC,BRANCH_PAYMENT,Declined,BranchPayment,UKGK7941523,6863.3,0.01,68.633,0,6931.943,AUD,No,513,Poor,Decreased,10/12/2020,3:37 PM
57-5948868,Hamish,Business Development,CO,1689-9697-3533-3729,709,2024-09,MTO,EFT,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,LPCU2063635,638,0.005,3.19,0,641.195,AUD,Yes,641,Fair,Decreased,16/05/2022,11:03 AM
66-4349254,Quent,Sales,VA,6836-1617-5368-4637,627,2024-05,MTO,MC,BPAY,Pending,BPay,LNWZ3336857,5161.7,0.01,51.617,0,5213.327,AUD,No,445,Poor,Increased,11/01/2022,12:43 PM
15-1593078,Melisa,Human Resources,TX,7480-6014-2510-1472,280,2024-10,REC,EFT,BPAY,Approved,BPay,WKLW4993247,2739.2,0.005,13.696,0,2752.901,AUD,Yes,485,Poor,Decreased,14/04/2021,7:34 PM
17-5511508,Ruthie,Marketing,CA,3733-5352-1226-5397,712,2024-08,REC,AX,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,EIOW2554924,894.8,0.02,17.896,0,912.716,AUD,No,403,Poor,NoChange,4/10/2020,12:26 AM
46-7008916,Grayce,Human Resources,IL,8235-8000-6804-6814,531,2024-10,REC,VI,BRANCH_PAYMENT,Declined,BranchPayment,RPXT9899606,4534.4,0.01,45.344,0,4579.754,AUD,No,709,Good,Increased,16/05/2022,11:12 PM
52-7938139,Susann,Sales,GA,3359-1509-3370-5408,620,2024-06,REC,EFT,AUSTRALIA_POST,Approved,AustraliaPost,KYFQ0968810,5386.1,0.005,26.9305,0,5413.0355,AUD,No,681,Good,Increased,20/01/2022,8:06 PM
45-1799556,Ruthann,Business Development,MD,5457-6100-5613-2691,778,2024-02,SSL,MC,BPAY,Approved,BPay,VMUF0580097,7241.2,0.01,72.412,0,7313.622,AUD,No,570,Poor,NoChange,13/12/2021,11:18 AM
71-6979251,Murvyn,Support,MA,8271-0659-4862-3793,585,2024-06,REC,AX,AUSTRALIA_POST,Declined,AustraliaPost,BOCD9399129,4754.8,0.02,95.096,0,4849.916,AUD,No,702,Good,NoChange,13/03/2022,4:53 AM
41-8868000,Tiffi,Training,DC,9768-0945-7190-7484,230,2024-05,SSL,VI,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,JRHA7047254,678.8,0.01,6.788,0,685.598,AUD,Yes,534,Poor,Increased,25/09/2020,2:08 AM
51-9576935,Kalie,Human Resources,NY,2702-3619-8100-7005,909,2024-05,REC,VI,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,WSOS6043028,7057,0.01,70.57,0,7127.58,AUD,No,583,Fair,NoChange,19/05/2022,8:11 PM
43-5928597,Tiffi,Training,FL,1953-8332-7323-8666,59,2024-06,MTO,AX,DEBIT_CREDIT_CARD_API,Approved,DirectDebitCredit,ITGE1844013,3157.6,0.02,63.152,0,3220.772,AUD,No,379,Poor,NoChange,29/05/2021,5:19 AM
59-3272141,Rubina,Services,CO,0469-3857-1798-4093,345,2024-08,REC,EFT,BRANCH_PAYMENT,Declined,BranchPayment,AOTO8683475,5242.9,0.005,26.2145,0,5269.1195,AUD,Yes,374,Poor,Decreased,2/07/2020,12:07 AM
81-3922607,Bette,Human Resources,VA,9575-6783-7686-0423,267,2024-10,REC,EFT,REMITTANCE_PROCESSING_SERVICE,Pending,RemittanceService,YVZQ8973637,1710.3,0.005,8.5515,0,1718.8565,AUD,No,500,Poor,Increased,15/10/2020,4:14 AM
38-2583589,Jonie,Support,TX,5433-7795-6695-1577,113,2024-11,REC,AX,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,EXTJ4520701,7936.5,0.02,158.73,0,8095.25,AUD,No,312,Poor,NoChange,24/06/2020,7:28 AM
20-6260412,Isaac,Human Resources,SC,2296-1657-5028-1310,854,2024-11,MTO,AX,REMITTANCE_PROCESSING_SERVICE,Approved,RemittanceService,ORFY9345319,7932.4,0.02,158.648,0,8091.068,AUD,No,300,No Data,NoChange,12/07/2021,3:02 AM
21-3761823,Maridel,Legal,NV,0375-0595-7975-8259,622,2024-06,MTO,VI,DEBIT_CREDIT_CARD_API,Pending,DirectDebitCredit,AMCR6140475,5001.7,0.01,50.017,0,5051.727,AUD,Yes,558,Poor,NoChange,25/11/2021,9:18 PM
45-1288093,Sorcha,Business Development,VA,4988-3115-0043-4075,967,2024-11,MTO,EFT,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,EXQK5257055,8612.8,0.005,43.064,0,8655.869,AUD,Yes,365,Poor,NoChange,6/12/2020,2:37 PM
12-9425613,Drusi,Training,FL,6893-8441-7023-2064,709,2024-07,REC,VI,BRANCH_PAYMENT,Approved,BranchPayment,WBZM3883855,6637.3,0.01,66.373,0,6703.683,AUD,Yes,305,Poor,NoChange,11/03/2022,9:49 PM
22-5064343,Hedvige,Research and Development,CO,2052-2510-2689-6187,436,2024-08,REC,EFT,REMITTANCE_PROCESSING_SERVICE,Declined,RemittanceService,AUKA4261777,2351.7,0.005,11.7585,0,2363.4635,AUD,No,420,Poor,Increased,13/10/2020,11:41 PM
88-7965238,Kirstin,Human Resources,LA,5086-5892-2200-7736,693,2024-09,MTO,AX,BPAY,Pending,BPay,HDLO9592216,1841.3,0.02,36.826,0,1878.146,AUD,No,431,Poor,Increased,2/01/2021,10:55 AM
